device_id,fingerprint,os,model
D-4442,dfp-cuws3829ggbo,macOS,ThinkPad T14
D-4443,dfp-nesd7hly8341,Linux,MacBook Air
D-4444,dfp-d52n22ypj9op,macOS,MacBook Air
D-4445,dfp-3gauft5k8ncy,Windows,Surface Pro 9
D-4446,dfp-uma4o8ake5a3,Android,Galaxy S22
D-4447,dfp-2vvd4y7mbjip,Linux,Pixel 7
D-4448,dfp-bljx6cljbaka,macOS,ThinkPad T14
D-4449,dfp-jfmv37sfpwzj,macOS,Surface Pro 9
D-4450,dfp-k4mhrqe5qqvo,Windows,Pixel 7
D-4451,dfp-vm35qvohpi9d,Windows,ThinkPad T14
D-4452,dfp-xgsq74jm20w0,Windows,Surface Pro 9
D-4453,dfp-lt84lbsa6j9l,Windows,Surface Pro 9
D-4454,dfp-hoiirbavbi7c,Android,Galaxy S22
D-4455,dfp-gxqulffs0dh5,Android,MacBook Air
D-4456,dfp-1n21wl8xxatc,macOS,iPhone 15
D-4457,dfp-87a2xpj05gk8,iOS,MacBook Air
D-4458,dfp-n3bdjfy9pxhg,Android,Pixel 7
D-4459,dfp-8bafkxypr4gt,Android,ThinkPad T14
D-4460,dfp-g1ri609kwa02,Windows,Galaxy S22
D-4461,dfp-8yyyp2xvwahm,Windows,iPhone 14
D-4462,dfp-e3wx9ffhzxde,Android,iPhone 14
D-4463,dfp-1xe6a5avyr2w,iOS,iPhone 15
D-4464,dfp-icdjn8fz6rd7,Android,iPhone 14
D-4465,dfp-z4wky8scfjzo,iOS,iPhone 14
D-4466,dfp-sgbn01wro7ye,Windows,Surface Pro 9
D-4467,dfp-gntvec8gcir6,macOS,ThinkPad T14
D-4468,dfp-to0x5nw1aqjw,macOS,MacBook Air
D-4469,dfp-ttjlo53wih9s,Windows,ThinkPad T14
D-4470,dfp-xjkdgey99623,Windows,ThinkPad T14
D-4471,dfp-5yqxwa4mmtlk,Linux,ThinkPad T14
D-4472,dfp-7nnrjges5hiv,macOS,ThinkPad T14
D-4473,dfp-74dh7bbw57v9,iOS,iPhone 14
D-4474,dfp-7z6zwdp5g6zg,iOS,iPhone 15
D-4475,dfp-46wzeul774r4,macOS,Surface Pro 9
D-4476,dfp-dqrp9tlki9z2,Windows,Surface Pro 9
D-4477,dfp-cjmrnpljcy3e,macOS,Pixel 7
D-4478,dfp-chbv9flblduh,Android,Pixel 7
D-4479,dfp-yfo0ogka5znr,Windows,iPhone 14
D-4480,dfp-911mt5c3hx41,macOS,Pixel 7
D-4481,dfp-6yqnj3gbrlkh,iOS,Galaxy S22
D-4482,dfp-d1tqvprp9j93,Windows,ThinkPad T14
D-4483,dfp-fv4lv2craiyp,iOS,iPhone 15
D-4484,dfp-jrqqruv8lr34,iOS,Pixel 7
D-4485,dfp-tqdue29zxtr5,iOS,Pixel 7
D-4486,dfp-5z038ryhvk3o,macOS,iPhone 14
D-4487,dfp-qa8v11luej7q,Android,iPhone 14
D-4488,dfp-etpu98ud3tjn,Windows,ThinkPad T14
D-4489,dfp-yuxsx2r7j1a4,Linux,iPhone 14
D-4490,dfp-v5ae361l68dw,Linux,ThinkPad T14
D-4491,dfp-o8xyh34bcjck,Linux,iPhone 14
D-4492,dfp-w4ra4xgh2p8x,macOS,MacBook Air
D-4493,dfp-cjdpia0h4smw,Windows,Surface Pro 9
D-4494,dfp-efu2vpnv5b1k,iOS,iPhone 14
D-4495,dfp-c3qrx7n1wkja,macOS,Pixel 7
D-4496,dfp-txltlowyc5m9,Android,MacBook Air
D-4497,dfp-rp09gjvwxbu7,iOS,Galaxy S22
D-4498,dfp-wiis711f3tae,macOS,MacBook Air
D-4499,dfp-ihe330tdwg1n,Linux,ThinkPad T14
D-4500,dfp-d790e8uuwuva,macOS,Galaxy S22
D-4501,dfp-3nstfa1tiung,iOS,Pixel 7
D-4502,dfp-3arp3rywueh6,Windows,Pixel 7
D-4503,dfp-ri0k2kc3sqcc,iOS,iPhone 14
D-4504,dfp-nezsr4xnan9y,iOS,Pixel 7
D-4505,dfp-67op5lb31h49,Android,Pixel 7
D-4506,dfp-lp74w2z2mbep,Android,iPhone 15
D-4507,dfp-agxrhzd0v25h,Linux,MacBook Air
D-4508,dfp-czlzarhfgv5w,Linux,Galaxy S22
D-4509,dfp-3pi8zcdos003,iOS,Pixel 7
D-4510,dfp-ci5yjk561a5y,Android,Surface Pro 9
D-4511,dfp-de32f13o51m2,Linux,Surface Pro 9
D-4512,dfp-dk58xy374tnp,Windows,iPhone 14
D-4513,dfp-uuxlsl7jjaim,Windows,Surface Pro 9
D-4514,dfp-0ybwfor7pbdm,Android,ThinkPad T14
D-4515,dfp-nwzzgzdqu56c,Windows,iPhone 14
D-4516,dfp-46jipqxk15zp,Windows,MacBook Air
D-4517,dfp-vfbdb024isz6,Windows,Pixel 7
D-4518,dfp-8tyywy8huxpc,Android,Galaxy S22
D-4519,dfp-d6angncd0enh,iOS,iPhone 15
D-4520,dfp-9gui2rd7lc8f,Android,Surface Pro 9
D-4521,dfp-z5hw4j6nnm8y,Android,MacBook Air
D-4522,dfp-ws87d4uuvqzk,macOS,MacBook Air
D-4523,dfp-sxpykcchxvna,iOS,iPhone 15
D-4524,dfp-rrfkzl69kpzv,Windows,iPhone 14
D-4525,dfp-2lhb1po7wdzl,macOS,Galaxy S22
D-4526,dfp-ge40bvn8iv9t,Windows,ThinkPad T14
D-4527,dfp-qp3dh9mlplbu,macOS,iPhone 15
D-4528,dfp-a6ya1ll695g9,macOS,iPhone 15
D-4529,dfp-ydysywiqyz3r,macOS,ThinkPad T14
D-4530,dfp-muu9fdrgjwdv,Android,Galaxy S22
D-4531,dfp-v0gf3rtysdzq,iOS,iPhone 15
D-4532,dfp-sotcsg0rt71v,Linux,iPhone 15
D-4533,dfp-ld84knxiz7fu,Android,Pixel 7
D-4534,dfp-5bcdfj6vxe2b,Windows,iPhone 15
D-4535,dfp-bfp18d68eo5u,Windows,iPhone 14
D-4536,dfp-k6v44lb9hqou,macOS,Galaxy S22
D-4537,dfp-yztr1fnvvjne,Android,Pixel 7
D-4538,dfp-3wlcmvavdjuv,Windows,Pixel 7
D-4539,dfp-o5jm5hq5522x,iOS,iPhone 14
D-4540,dfp-tbtnebq9ghuj,Android,MacBook Air
D-4541,dfp-90pu2gu6xcmg,iOS,ThinkPad T14
D-4542,dfp-o09hwtkyiom7,iOS,Pixel 7
D-4543,dfp-pifq5p4st0nk,macOS,MacBook Air
D-4544,dfp-v0vjtrgdiyu3,iOS,MacBook Air
D-4545,dfp-1qicytwckhk5,macOS,Surface Pro 9
D-4546,dfp-yz8a4pl6xrt7,iOS,ThinkPad T14
D-4547,dfp-ycrfcekd4qta,Android,ThinkPad T14
D-4548,dfp-744yciy045ae,Linux,Galaxy S22
D-4549,dfp-pejay19d6b0w,Linux,iPhone 14
D-4550,dfp-32dut171jkmq,iOS,Surface Pro 9
D-4551,dfp-pmsq4zc8kmt8,iOS,MacBook Air
D-4552,dfp-qi2xh4zryem0,iOS,MacBook Air
D-4553,dfp-i924kqpdbo99,macOS,iPhone 14
D-4554,dfp-qz0btf45f1wt,Android,MacBook Air
D-4555,dfp-wrjo258vcug6,Windows,ThinkPad T14
D-4556,dfp-us52d9okfx7p,macOS,ThinkPad T14
D-4557,dfp-km9n92yqyhg7,Windows,MacBook Air
D-4558,dfp-hwcj60brhde8,Linux,Surface Pro 9
D-4559,dfp-gu09bnnxe7s4,Linux,MacBook Air
D-4560,dfp-hmx68d7w624w,Android,Pixel 7
D-4561,dfp-ipw5qji8top7,Android,Galaxy S22
D-4562,dfp-vtov4aojadka,iOS,Surface Pro 9
D-4563,dfp-zsoiweq2mh96,Windows,Galaxy S22
D-4564,dfp-sjq37n1q4iav,Linux,Surface Pro 9
D-4565,dfp-cnixze9bv0lo,Android,iPhone 14
D-4566,dfp-voduuwmzr0pt,iOS,Galaxy S22
D-4567,dfp-ayfco5gak5vo,Windows,Surface Pro 9
D-4568,dfp-pjtu7ug3r1kt,Linux,ThinkPad T14
D-4569,dfp-6u0a5xyucvxr,Android,ThinkPad T14
D-4570,dfp-w94n7xwrlm8i,Windows,Galaxy S22
D-4571,dfp-6n2geuj8txvh,iOS,ThinkPad T14
D-4572,dfp-vobjglzftfew,iOS,Pixel 7
D-4573,dfp-scde3pp88g8z,Linux,MacBook Air
D-4574,dfp-onftm7u9ko25,Android,iPhone 15
D-4575,dfp-8tnznax04qbh,macOS,MacBook Air
D-4576,dfp-j99a88n0dnci,macOS,Surface Pro 9
D-4577,dfp-6kr6dsy5qsv3,Windows,Galaxy S22
D-4578,dfp-fmyxwbcshqto,Android,Pixel 7
D-4579,dfp-5ui73xoywvyd,iOS,iPhone 15
D-4580,dfp-42w49cv3xt3l,Windows,MacBook Air
D-4581,dfp-hix3rhadobtt,Linux,MacBook Air
D-4582,dfp-18df7xifgj3o,macOS,Galaxy S22
D-4583,dfp-c8qg30qegc6h,Windows,MacBook Air
D-4584,dfp-gva0di1xvlgd,iOS,MacBook Air
D-4585,dfp-ax4xpb37azam,Windows,iPhone 14
D-4586,dfp-sbum7vi1qcjj,iOS,MacBook Air
D-4587,dfp-30n55ca2hw1u,macOS,iPhone 15
D-4588,dfp-aa3xw6ke7ej1,Windows,ThinkPad T14
D-4589,dfp-jt14miw1duiz,Linux,Surface Pro 9
D-4590,dfp-5bppdhs8ohz9,macOS,iPhone 15
D-4591,dfp-8t4rrd5qsjm7,Linux,iPhone 14
D-4592,dfp-zii5k9wdtqab,Windows,iPhone 15
D-4593,dfp-iuga8jt11tv1,Windows,iPhone 14
D-4594,dfp-gi3uz9l8pzlp,Windows,Galaxy S22
D-4595,dfp-np4o9ejbsdks,Windows,iPhone 14
D-4596,dfp-zwcjwlc4i3g0,Linux,iPhone 15
D-4597,dfp-y16pkzwef2oq,Linux,MacBook Air
D-4598,dfp-v1rpwwaegtai,Android,ThinkPad T14
D-4599,dfp-04wvkwr7cgxq,Windows,ThinkPad T14
D-4600,dfp-s7cixesae0c6,macOS,iPhone 15
D-4601,dfp-evfsaci74w8q,macOS,Galaxy S22
D-4602,dfp-9ylqkxmajb66,macOS,iPhone 15
D-4603,dfp-085zp5ef97h4,Android,Pixel 7
D-4604,dfp-pht6qlmdvla3,macOS,MacBook Air
D-4605,dfp-36d1qd9ll2q3,Android,iPhone 15
D-4606,dfp-zirewennwf4j,iOS,ThinkPad T14
D-4607,dfp-dkwj72qt6m08,Windows,ThinkPad T14
D-4608,dfp-8ow2cozr487i,iOS,Galaxy S22
D-4609,dfp-57u6sw0pmpat,macOS,MacBook Air
D-4610,dfp-e4hfxveg0trk,iOS,iPhone 14
D-4611,dfp-tljlkqpjj8ku,Android,Galaxy S22
D-4612,dfp-jexlicav5x5l,Windows,Galaxy S22
D-4613,dfp-ua2iygsaeymy,Linux,iPhone 15
D-4614,dfp-zx4bn6yp741c,macOS,Surface Pro 9
D-4615,dfp-lctp2b6h8ipv,Linux,MacBook Air
D-4616,dfp-1p6h1qbpsj54,iOS,iPhone 15
D-4617,dfp-zjhkwo0o6iqk,macOS,iPhone 14
D-4618,dfp-donxxw7opl25,Linux,ThinkPad T14
D-4619,dfp-rrtu01g55iqf,macOS,ThinkPad T14
D-4620,dfp-bc1yii9nw2a3,Linux,Pixel 7
D-4621,dfp-16s8qkbn5tax,Windows,Surface Pro 9
D-4622,dfp-clqn1po4ofpq,Linux,Galaxy S22
D-4623,dfp-h9scz8clhbqd,iOS,Pixel 7
D-4624,dfp-ci2rv7bmnodf,Android,iPhone 15
D-4625,dfp-iapcaq8u8iz0,Linux,iPhone 14
D-4626,dfp-0psvhfomv3zi,Windows,iPhone 15
D-4627,dfp-4eza2ivk3ny4,Android,ThinkPad T14
D-4628,dfp-2k2v31hs5tzb,Android,iPhone 15
D-4629,dfp-mhilmcg2e3so,Android,Pixel 7
D-4630,dfp-jfadrwc8v67m,Android,Surface Pro 9
D-4631,dfp-huywmjp85gde,Linux,Pixel 7
D-4632,dfp-ywql12jx96u3,macOS,Galaxy S22
D-4633,dfp-s01cg1xwl4l6,Windows,Pixel 7
D-4634,dfp-8vm5ax1mqkri,Android,Surface Pro 9
D-4635,dfp-b5qci0dd510u,Android,ThinkPad T14
D-4636,dfp-75vcpvpexd3j,macOS,iPhone 14
D-4637,dfp-qrzcq52c1yox,Linux,MacBook Air
D-4638,dfp-w6kdcs0jr1lw,macOS,iPhone 14
D-4639,dfp-thgxirlp2y6s,macOS,iPhone 14
D-4640,dfp-kiwk07gvje0o,macOS,MacBook Air
D-4641,dfp-6ul0095bxnu5,iOS,Surface Pro 9
D-4642,dfp-yvo1qk0q8dc7,Android,iPhone 14
D-4643,dfp-qthzwokxfjwh,Windows,Surface Pro 9
D-4644,dfp-qzo34y2z4q7o,iOS,MacBook Air
D-4645,dfp-dbajt6vcg4zn,Android,iPhone 14
D-4646,dfp-ixtpjtgm2w9x,Windows,ThinkPad T14
D-4647,dfp-3n429pbr6yez,Windows,ThinkPad T14
D-4648,dfp-06t9ms3p9ccm,Android,Surface Pro 9
D-4649,dfp-m88ohb3focs2,iOS,Pixel 7
D-4650,dfp-w8kehun1ol8b,Android,Pixel 7
D-4651,dfp-xqhv0728qyty,Android,iPhone 15
D-4652,dfp-8i266dthis23,Android,ThinkPad T14
D-4653,dfp-dl4m33rnbxra,Windows,Pixel 7
D-4654,dfp-93wsx6ayp4ll,macOS,Galaxy S22
D-4655,dfp-ds7ol00sytmn,macOS,iPhone 15
D-4656,dfp-9efsaqbf6t7e,macOS,Pixel 7
D-4657,dfp-2h0twunpx7x2,macOS,iPhone 15
D-4658,dfp-pp5h0xlwitor,Android,ThinkPad T14
D-4659,dfp-eyggvjyrlhq2,macOS,iPhone 14
D-4660,dfp-40c14k10t204,macOS,ThinkPad T14
D-4661,dfp-53ad87ytzaq1,Android,iPhone 14
D-4662,dfp-ht12c76qe9ht,Windows,Pixel 7
D-4663,dfp-2n5syrqp86fu,iOS,iPhone 14
D-4664,dfp-3kyeqldr4691,Android,ThinkPad T14
D-4665,dfp-k6fpulgaqzei,Android,iPhone 15
D-4666,dfp-tfrja1c2xlkg,Linux,Galaxy S22
D-4667,dfp-c1074iz8sg2h,iOS,Surface Pro 9
D-4668,dfp-akprnmo7q029,Linux,iPhone 15
D-4669,dfp-ta9rqneuzlv5,Windows,ThinkPad T14
D-4670,dfp-aseh0qha537q,macOS,MacBook Air
D-4671,dfp-i025gwammgkr,Android,iPhone 15
D-4672,dfp-uewa31d8zd7e,Linux,MacBook Air
D-4673,dfp-1c6gm4knh3x5,Android,ThinkPad T14
D-4674,dfp-5n67r6nh399y,Windows,iPhone 14
D-4675,dfp-802k07vp3nir,iOS,iPhone 15
D-4676,dfp-mt00yihwt9u3,Linux,Surface Pro 9
D-4677,dfp-m6tog1wuexq1,iOS,MacBook Air
D-4678,dfp-zfaqhinll3vk,Windows,ThinkPad T14
D-4679,dfp-prt6od8903mh,iOS,Galaxy S22
D-4680,dfp-fdzprkqxodwu,Windows,Pixel 7
D-4681,dfp-zr1j6orwyx9l,Android,Pixel 7
D-4682,dfp-trikbgef23kl,Android,Pixel 7
D-4683,dfp-9e4upuwz51au,macOS,Galaxy S22
D-4684,dfp-6z0d83zs9dmf,macOS,Galaxy S22
D-4685,dfp-ujj355gj4256,Android,Surface Pro 9
D-4686,dfp-91dq7i5og35h,macOS,ThinkPad T14
D-4687,dfp-w8o65zhy98sc,macOS,iPhone 15
D-4688,dfp-o3fiq22y9h61,Linux,MacBook Air
D-4689,dfp-2kqnuk70oe9s,iOS,iPhone 14
D-4690,dfp-18y69md49uec,Android,Pixel 7
D-4691,dfp-feqbecetfm48,iOS,Pixel 7
D-4692,dfp-23742becq3q6,Android,Galaxy S22
D-4693,dfp-5c1xv0y040hv,Windows,Galaxy S22
D-4694,dfp-097r5ta0uh7v,iOS,MacBook Air
D-4695,dfp-pne0wpbfxxs5,Linux,Surface Pro 9
D-4696,dfp-0rox0v3iqz72,macOS,Pixel 7
D-4697,dfp-9uk1xrsnjp9b,iOS,ThinkPad T14
D-4698,dfp-vj53abphac0n,Android,MacBook Air
D-4699,dfp-ehx4d23i6uxh,Android,Surface Pro 9
D-4700,dfp-wedgizeddesj,macOS,Pixel 7
D-4701,dfp-3mzcui199ifs,Windows,ThinkPad T14
D-4702,dfp-xkn4crvfokf8,Android,Galaxy S22
D-4703,dfp-182ok67prmiz,Linux,ThinkPad T14
D-4704,dfp-0vye9mkaoxrh,Android,iPhone 14
D-4705,dfp-9lx3adetaqay,Windows,MacBook Air
D-4706,dfp-ozl1duu0a53k,Windows,ThinkPad T14
D-4707,dfp-xswfk249qhsp,Linux,MacBook Air
D-4708,dfp-3k4j5fu2rwia,Android,Galaxy S22
D-4709,dfp-gkxjcm63phgo,macOS,iPhone 14
D-4710,dfp-bl3136iey4r3,Linux,iPhone 14
D-4711,dfp-66z3a1ojclfw,Linux,iPhone 15
D-4712,dfp-v6x9du435lfd,Linux,iPhone 15
D-4713,dfp-v7h620tc731i,iOS,Surface Pro 9
D-4714,dfp-124yd534lyms,macOS,Surface Pro 9
D-4715,dfp-zkbo47137c42,iOS,Surface Pro 9
D-4716,dfp-7ub3bnfviupq,Android,Surface Pro 9
D-4717,dfp-794gy9sagirr,Windows,Pixel 7
D-4718,dfp-kf79wtgcjs4r,Android,MacBook Air
D-4719,dfp-uvq0z0dzbsma,Android,ThinkPad T14
D-4720,dfp-8136iggyhwq5,iOS,MacBook Air
D-4721,dfp-vedspde6vvh4,Windows,iPhone 14
D-4722,dfp-ayfgleb9tyfk,iOS,iPhone 14
D-4723,dfp-qhdatfjykc61,Linux,Galaxy S22
D-4724,dfp-5utbxvjcwmyv,Linux,Galaxy S22
D-4725,dfp-1h48u8e97ayw,Android,iPhone 15
D-4726,dfp-l0t2tl186ikr,macOS,ThinkPad T14
D-4727,dfp-b5cgcow1rq93,Linux,MacBook Air
D-4728,dfp-ogq6pvddbx03,macOS,Galaxy S22
D-4729,dfp-72f8bjii8eop,macOS,MacBook Air
D-4730,dfp-ypppqp39hft6,iOS,ThinkPad T14
D-4731,dfp-uv6b68duayhg,iOS,iPhone 14
D-4732,dfp-tolsyle4h3xn,Android,Surface Pro 9
D-4733,dfp-68304zsvfeyx,Linux,Pixel 7
D-4734,dfp-9kub04j5r8dt,Android,Surface Pro 9
D-4735,dfp-9cqwgk85o4bk,Android,ThinkPad T14
D-4736,dfp-dc09znjbm99r,Windows,Surface Pro 9
D-4737,dfp-v9dx0nmucre6,Windows,Surface Pro 9
D-4738,dfp-plonsz123q8h,Android,Galaxy S22
D-4739,dfp-yw6uav4p02kw,Linux,MacBook Air
D-4740,dfp-ctme12v0c013,macOS,iPhone 14
D-4741,dfp-g54v0wpquozh,iOS,MacBook Air
D-4742,dfp-al5yiayfizsb,Android,Pixel 7
D-4743,dfp-3l7ymtlj1192,Windows,Surface Pro 9
D-4744,dfp-new0alb5ifda,Windows,iPhone 14
D-4745,dfp-b1hsmut18p09,Windows,MacBook Air
D-4746,dfp-f69n7esri01e,macOS,MacBook Air
D-4747,dfp-zg2ugq8o2i1z,macOS,ThinkPad T14
D-4748,dfp-bw6ndy056dg3,Windows,Surface Pro 9
D-4749,dfp-ycfirqg5y036,iOS,ThinkPad T14
D-4750,dfp-zfd76c6r781g,Windows,Pixel 7
D-4751,dfp-2ttt4zfddgec,iOS,ThinkPad T14
D-4752,dfp-e3mpw6lwwzfj,Windows,MacBook Air
D-4753,dfp-3djk6c0n7xat,Android,MacBook Air
D-4754,dfp-e0z0740210q6,Linux,Pixel 7
D-4755,dfp-35mub0jtezsv,iOS,Galaxy S22
D-4756,dfp-xo6nyeb8mcpi,Windows,iPhone 15
D-4757,dfp-669kxhxb3w8j,Linux,ThinkPad T14
D-4758,dfp-7prp08stcept,Windows,Pixel 7
D-4759,dfp-8nroix1wvfbx,iOS,Surface Pro 9
D-4760,dfp-ug1tjzlsr20d,Android,Surface Pro 9
D-4761,dfp-fe285hgzckoj,Windows,Surface Pro 9
D-4762,dfp-dq2uwiqxaq0i,Windows,ThinkPad T14
D-4763,dfp-pcoyqs8e0x6z,iOS,MacBook Air
D-4764,dfp-c5qvearfrm5y,iOS,ThinkPad T14
D-4765,dfp-lxeurezdwel2,Android,Galaxy S22
D-4766,dfp-cenjcghp9fq4,Linux,iPhone 14
D-4767,dfp-gwfz5idf2nc5,macOS,iPhone 14
D-4768,dfp-r320u5jbqawh,macOS,iPhone 14
D-4769,dfp-qbx7im5w2lp1,iOS,iPhone 15
D-4770,dfp-xo89kj2mh6gv,Windows,Galaxy S22
D-4771,dfp-b4uia6n4dgb9,macOS,iPhone 15
D-4772,dfp-zdh15ra5q33w,Android,iPhone 14
D-4773,dfp-lljtmy9j960j,Linux,MacBook Air
D-4774,dfp-x2vq4g39upz3,iOS,Galaxy S22
D-4775,dfp-5my67d9x0en7,Android,Pixel 7
D-4776,dfp-oqvu8poec6yd,Linux,MacBook Air
D-4777,dfp-pj0hj9hc4hs4,Windows,Surface Pro 9
D-4778,dfp-p713fdr66h7e,iOS,Galaxy S22
D-4779,dfp-kmyc82r5agtr,Linux,Pixel 7
D-4780,dfp-hx94mr8okv1o,macOS,iPhone 15
D-4781,dfp-7ox28je92t6f,Windows,Galaxy S22
D-4782,dfp-rj6mnu9h8wxj,Android,Galaxy S22
D-4783,dfp-acusehqo838x,Android,MacBook Air
D-4784,dfp-q7br04cj0jd8,Windows,iPhone 15
D-4785,dfp-lzfwnvz3eujo,iOS,Surface Pro 9
D-4786,dfp-yzdqk90m1piv,iOS,iPhone 15
D-4787,dfp-qjwq71qmftqj,macOS,Galaxy S22
D-4788,dfp-0m1q1qbileup,Windows,Surface Pro 9
D-4789,dfp-rg0jy4z0utww,macOS,Pixel 7
D-4790,dfp-3yk0zb3vocwf,macOS,Surface Pro 9
D-4791,dfp-ds7zctys0nnp,Windows,iPhone 14
D-4792,dfp-tbdwq89koj21,Linux,iPhone 14
D-4793,dfp-388d20fgagau,Android,Pixel 7
D-4794,dfp-1gkhekz0iruh,Linux,Pixel 7
D-4795,dfp-oo9674o7ax16,Android,Galaxy S22
D-4796,dfp-wp1huz1n06ow,iOS,Pixel 7
D-4797,dfp-aonm9aw60jpf,Windows,iPhone 15
D-4798,dfp-kfmb1h5m8tjo,macOS,MacBook Air
D-4799,dfp-vppbas2hdx85,Android,Galaxy S22
D-4800,dfp-y3h1al090730,Android,ThinkPad T14
